Date,Open,High,Low,Close,Volume
2025-01-10,77.11,77.13,76.96,76.98,7570178.0
2025-01-13,76.98,76.995,76.93,76.94,1910579.0
2025-01-14,77.0,77.02878,76.98,76.98,2872476.0
2025-01-15,77.23,77.27,77.2,77.26,1235433.0
2025-01-16,77.21,77.3768,77.19,77.35,1857629.0
2025-01-17,77.4,77.4,77.3,77.32,1916453.0
2025-01-21,77.41,77.41,77.3222,77.37,2470917.0
2025-01-22,77.37,77.3801,77.3,77.34,1271520.0
2025-01-23,77.28,77.35,77.275,77.35,1675141.0
2025-01-24,77.35,77.45,77.33,77.39,6902932.0
2025-01-27,77.57,77.5874,77.5,77.56,2208458.0
2025-01-28,77.5,77.59,77.5,77.59,1349973.0
2025-01-29,77.6011,77.6162,77.465,77.53,1154486.0
2025-01-30,77.56,77.63,77.56,77.61,1824666.0
2025-01-31,77.63,77.6651,77.55,77.6,1451620.0
2025-02-03,77.36,77.409,77.26,77.3,2171939.0
2025-02-04,77.04,77.4,77.04,77.4,1269466.0
2025-02-05,77.48,77.55,77.42,77.51,1419408.0
2025-02-06,77.45,77.5,77.44,77.47,1372609.0
2025-02-07,77.4,77.42,77.32,77.33,1806812.0
2025-02-10,77.37,77.42,77.34,77.34,1220823.0
2025-02-11,77.32,77.36,77.31,77.35,1332736.0
2025-02-12,77.181,77.22,77.16,77.19,1654860.0
2025-02-13,77.31,77.36,77.29,77.32,2594935.0
2025-02-14,77.45,77.53,77.43,77.49,1782628.0
2025-02-18,77.51,77.515,77.4,77.42,1198822.0
2025-02-19,77.4,77.49,77.4,77.49,1184162.0
2025-02-20,77.5001,77.5353,77.45,77.51,3024793.0
2025-02-21,77.53,77.68,77.5282,77.65,1645688.0
2025-02-24,77.62,77.75,77.62,77.73,3043701.0
2025-02-25,77.87,77.93,77.85,77.92,2185851.0
2025-02-26,77.9,77.99,77.845,77.95,1352968.0
2025-02-27,77.9082,77.965,77.89,77.95,1653528.0
2025-02-28,78.0,78.13,77.995,78.11,2015809.0
2025-03-03,77.86,77.99,77.82,77.98,2176839.0
2025-03-04,78.065,78.17,77.95,78.0,1914161.0
2025-03-05,78.05,78.08,77.86,77.88,2063394.0
2025-03-06,77.88,77.94,77.81,77.9,1292276.0
2025-03-07,78.07,78.07,77.8201,77.85,2013802.0
2025-03-10,78.0004,78.0854,77.975,78.07,4099362.0
2025-03-11,78.07,78.1199,77.95,77.95,5414620.0
2025-03-12,77.9599,77.9599,77.86,77.86,4892751.0
2025-03-13,77.85,78.0,77.83,77.97,1420360.0
2025-03-14,77.935,77.97,77.88,77.88,1648450.0
2025-03-17,77.89,77.95,77.84,77.85,1772353.0
2025-03-18,77.85,77.95,77.85,77.92,1606408.0
2025-03-19,77.885,78.07,77.83,78.04,1432449.0
2025-03-20,78.19,78.19,78.06,78.09,1698950.0
2025-03-21,78.17,78.2,78.1149,78.14,1358146.0
2025-03-24,78.0215,78.09,77.96,77.96,1734376.0
2025-03-25,77.9601,78.07,77.9601,78.03,2140729.0
2025-03-26,77.9801,78.04,77.96,77.99,1170945.0
2025-03-27,78.05,78.0598,77.99,78.04,2782865.0
2025-03-28,78.15,78.26,78.1,78.24,1521953.0
2025-03-31,78.32,78.34,78.22,78.28,2146887.0
2025-04-01,78.09,78.1665,78.06,78.11,1945410.0
2025-04-02,78.1109,78.18,78.0,78.06,1202022.0
2025-04-03,78.37,78.49,78.36,78.44,4456119.0
2025-04-04,78.66,78.78,78.4,78.46,4176815.0
2025-04-07,78.5,78.5242,78.08,78.21,16590899.0
2025-04-08,78.24,78.24,78.02,78.13,9258137.0
2025-04-09,77.98,78.11,77.6601,78.04,4280352.0
2025-04-10,78.0,78.13,77.89,77.93,2643118.0
2025-04-11,77.93,77.9398,77.5915,77.74,3036033.0
2025-04-14,77.89,78.04,77.84,77.98,2067030.0
2025-04-15,78.0935,78.14,78.03,78.09,1615288.0
2025-04-16,78.0951,78.2775,78.0951,78.24,34528136.0
2025-04-17,78.23,78.3,78.19,78.25,1745963.0
2025-04-21,78.2697,78.36,78.22,78.22,2165747.0
2025-04-22,78.29,78.29,78.1644,78.18,1705893.0
2025-04-23,78.2947,78.35,78.1001,78.13,4166567.0
2025-04-24,78.29,78.3356,78.202,78.32,1467764.0
2025-04-25,78.36,78.45,78.32,78.45,1995982.0
2025-04-28,78.4,78.6,78.4,78.58,1239292.0
2025-04-29,78.53,78.67,78.53,78.67,1452851.0
2025-04-30,78.615,78.78,78.5997,78.78,1289697.0
2025-05-01,78.54,78.61,78.3,78.34,1997693.0
2025-05-02,78.235,78.28,78.09,78.15,2949970.0
2025-05-05,78.28,78.28,78.08,78.15,1592276.0
2025-05-06,78.15,78.25,78.15,78.23,2609323.0
2025-05-07,78.1176,78.31,78.1176,78.27,1743709.0
2025-05-08,78.3,78.3,78.0401,78.07,1572484.0
2025-05-09,78.19,78.2,78.09,78.1,1526464.0
2025-05-12,77.925,77.9659,77.87,77.9,2504326.0
2025-05-13,77.95,77.979,77.8701,77.91,2215081.0
2025-05-14,77.88,77.9298,77.78,77.78,3308248.0
2025-05-15,77.87,78.01,77.87,78.01,2044706.0
2025-05-16,78.13,78.13,77.99,78.0,2263352.0
2025-05-19,77.93,78.07,77.925,78.07,1850451.0
2025-05-20,78.02,78.09,78.0,78.07,1625641.0
2025-05-21,77.99,78.01,77.91,77.94,5285437.0
2025-05-22,78.0,78.04,77.95,78.02,1798606.0
2025-05-23,78.17,78.18,78.06,78.09,1755095.0
2025-05-27,78.145,78.19,78.1,78.16,1425469.0
2025-05-28,78.4,78.4,78.07,78.1,1717835.0
2025-05-29,78.17,78.25,78.17,78.23,4654380.0
2025-05-30,78.3,78.48,78.245,78.36,1742401.0
2025-06-02,78.04,78.11,77.99,78.05,1659563.0
2025-06-03,78.0401,78.09,77.9703,78.0,1503344.0
2025-06-04,78.11,78.21,78.07,78.19,1662417.0
2025-06-05,78.1303,78.21,78.06,78.09,1663710.0
2025-06-06,77.94,77.95,77.86,77.87,2017690.0
2025-06-09,77.8799,77.9499,77.8799,77.9,8545543.0
2025-06-10,77.96,77.99,77.93,77.93,1823666.0
2025-06-11,78.05,78.1,78.02,78.09,1489166.0
2025-06-12,78.186,78.2065,78.15,78.18,1419348.0
2025-06-13,78.1203,78.15,78.05,78.11,1913919.0
2025-06-16,78.09,78.18,78.08,78.08,1292968.0
2025-06-17,78.13,78.18,78.09,78.15,1688018.0
2025-06-18,78.2,78.31,78.15,78.19,2092334.0
2025-06-20,78.18,78.3,78.18,78.27,2095519.0
2025-06-23,78.32,78.46,78.31,78.4,2786894.0
2025-06-24,78.4,78.54,78.38,78.54,2018883.0
2025-06-25,78.5,78.54,78.45,78.52,1537842.0
2025-06-26,78.62,78.66,78.5701,78.66,1347197.0
2025-06-27,78.615,78.67,78.585,78.6,2882532.0
2025-06-30,78.67,78.7,78.62,78.7,1515200.0
2025-07-01,78.34,78.43,78.3142,78.35,5618652.0
2025-07-02,78.4506,78.4506,78.3101,78.34,1539645.0
2025-07-03,78.24,78.26,78.2,78.24,2249315.0
2025-07-07,78.24,78.24,78.18,78.2,2972622.0
2025-07-08,78.17,78.17,78.1333,78.16,1487787.0
2025-07-09,78.1919,78.28,78.1919,78.27,1882386.0
2025-07-10,78.2626,78.28,78.22,78.27,1392203.0
2025-07-11,78.22,78.23,78.18,78.22,1949944.0
2025-07-14,78.22,78.26,78.19,78.23,5305712.0
2025-07-15,78.24,78.25,78.1,78.11,1285823.0
2025-07-16,78.1642,78.2768,78.155,78.26,1487240.0
2025-07-17,78.26,78.28,78.21,78.23,3894310.0
2025-07-18,78.39,78.39,78.32,78.35,1541754.0
2025-07-21,78.46,78.46,78.4001,78.43,1485433.0
2025-07-22,78.47,78.51,78.45,78.5,1471911.0
2025-07-23,78.46,78.4676,78.39,78.4,1724553.0
2025-07-24,78.2948,78.36,78.29,78.35,1501441.0
2025-07-25,78.38,78.4,78.3502,78.4,1293910.0
2025-07-28,78.4,78.4,78.35,78.38,1449375.0
2025-07-29,78.4,78.49,78.39,78.49,1331306.0
2025-07-30,78.4,78.5197,78.37,78.39,1908777.0
2025-07-31,78.46,78.46,78.37,78.38,1723880.0
2025-08-01,78.44,78.62,78.44,78.6,3657504.0
2025-08-04,78.6481,78.65,78.55,78.62,2426781.0
2025-08-05,78.58,78.62,78.56,78.59,2271949.0
2025-08-06,78.5687,78.63,78.545,78.62,1558162.0
2025-08-07,78.6,78.63,78.56,78.59,1700668.0
2025-08-08,78.56,78.57,78.51,78.52,1853290.0
2025-08-11,78.5258,78.56,78.5,78.54,1372843.0
2025-08-12,78.54,78.6,78.53,78.59,1486878.0
2025-08-13,78.69,78.7399,78.6801,78.72,1225242.0
2025-08-14,78.63,78.66,78.6,78.62,1493051.0
2025-08-15,78.655,78.67,78.59,78.61,1303939.0
2025-08-18,78.6258,78.63,78.57,78.58,2664537.0
2025-08-19,78.6298,78.66,78.6201,78.65,1490343.0
2025-08-20,78.645,78.72,78.64,78.66,1733313.0
2025-08-21,78.648,78.65,78.54,78.56,1663214.0
2025-08-22,78.64,78.83,78.6109,78.8,1328075.0
2025-08-25,78.75,78.7699,78.72,78.75,1153166.0
2025-08-26,78.78,78.86,78.78,78.85,1711927.0
2025-08-27,78.82,78.93,78.82,78.93,1441888.0
2025-08-28,78.88,78.93,78.87,78.92,1280000.0
2025-08-29,78.93,78.98,78.9102,78.97,2256386.0
2025-09-02,78.635,78.67,78.6001,78.66,1335639.0
2025-09-03,78.648,78.76,78.64,78.73,1584393.0
2025-09-04,78.8,78.84,78.77,78.83,1719321.0
2025-09-05,79.03,79.07,78.97,78.98,2318751.0
2025-09-08,79.02,79.06,79.0,79.01,2952248.0
2025-09-09,79.05,79.07,78.9,78.93,2911439.0
2025-09-10,78.99,79.0059,78.95,78.95,1570830.0
2025-09-11,79.032,79.07,78.98,78.98,2913404.0
2025-09-12,78.98,78.98,78.91,78.95,3812430.0
2025-09-15,79.0398,79.04,79.01,79.03,1943599.0
2025-09-16,79.0304,79.09,79.0304,79.07,2181047.0
2025-09-17,79.044,79.16,78.9619,79.0,2426898.0
2025-09-18,78.941,78.98,78.905,78.95,1912505.0
2025-09-19,78.97,78.99,78.93,78.97,3571943.0
2025-09-22,78.97,78.9991,78.92,78.92,1993639.0
