Category: All categories

Week,bitcoin price manipulation: (Worldwide)
2025-01-12,0
2025-01-19,0
2025-01-26,0
2025-02-02,0
2025-02-09,0
2025-02-16,0
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,0
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,0
2025-06-08,0
2025-06-15,0
2025-06-22,0
2025-06-29,0
2025-07-06,0
2025-07-13,0
2025-07-20,0
2025-07-27,19
2025-08-03,37
2025-08-10,100
2025-08-17,89
2025-08-24,54
2025-08-31,36
2025-09-07,28
2025-09-14,23
2025-09-21,27
2025-09-28,29
2025-10-05,32
2025-10-12,36
2025-10-19,35
2025-10-26,23
2025-11-02,24
2025-11-09,31
2025-11-16,60
2025-11-23,33
2025-11-30,36
2025-12-07,38
2025-12-14,37
2025-12-21,18
2025-12-28,26
2026-01-04,3
2026-01-11,2
