Category: All categories

Week,Bitcoin: (Worldwide)
2025-01-12,60
2025-01-19,77
2025-01-26,57
2025-02-02,59
2025-02-09,42
2025-02-16,41
2025-02-23,65
2025-03-02,67
2025-03-09,61
2025-03-16,42
2025-03-23,40
2025-03-30,47
2025-04-06,56
2025-04-13,36
2025-04-20,43
2025-04-27,33
2025-05-04,42
2025-05-11,42
2025-05-18,52
2025-05-25,42
2025-06-01,38
2025-06-08,40
2025-06-15,35
2025-06-22,38
2025-06-29,35
2025-07-06,46
2025-07-13,59
2025-07-20,48
2025-07-27,48
2025-08-03,61
2025-08-10,83
2025-08-17,76
2025-08-24,63
2025-08-31,53
2025-09-07,51
2025-09-14,50
2025-09-21,51
2025-09-28,54
2025-10-05,68
2025-10-12,74
2025-10-19,58
2025-10-26,52
2025-11-02,63
2025-11-09,62
2025-11-16,100
2025-11-23,75
2025-11-30,78
2025-12-07,58
2025-12-14,60
2025-12-21,46
2025-12-28,40
2026-01-04,39
2026-01-11,35
