Category: All categories

Week,Cryptocurrency: (Worldwide)
2025-01-12,51
2025-01-19,80
2025-01-26,49
2025-02-02,50
2025-02-09,39
2025-02-16,44
2025-02-23,43
2025-03-02,49
2025-03-09,36
2025-03-16,32
2025-03-23,30
2025-03-30,32
2025-04-06,32
2025-04-13,26
2025-04-20,27
2025-04-27,26
2025-05-04,29
2025-05-11,32
2025-05-18,30
2025-05-25,31
2025-06-01,29
2025-06-08,32
2025-06-15,28
2025-06-22,28
2025-06-29,26
2025-07-06,33
2025-07-13,47
2025-07-20,50
2025-07-27,50
2025-08-03,72
2025-08-10,100
2025-08-17,94
2025-08-24,75
2025-08-31,68
2025-09-07,69
2025-09-14,61
2025-09-21,67
2025-09-28,67
2025-10-05,69
2025-10-12,75
2025-10-19,57
2025-10-26,54
2025-11-02,55
2025-11-09,52
2025-11-16,56
2025-11-23,54
2025-11-30,59
2025-12-07,51
2025-12-14,50
2025-12-21,39
2025-12-28,30
2026-01-04,26
2026-01-11,25
