Category: All categories

Week,Ethereum: (Worldwide)
2025-01-12,17
2025-01-19,20
2025-01-26,15
2025-02-02,21
2025-02-09,13
2025-02-16,14
2025-02-23,16
2025-03-02,17
2025-03-09,16
2025-03-16,12
2025-03-23,11
2025-03-30,12
2025-04-06,17
2025-04-13,10
2025-04-20,12
2025-04-27,10
2025-05-04,16
2025-05-11,17
2025-05-18,16
2025-05-25,13
2025-06-01,11
2025-06-08,14
2025-06-15,12
2025-06-22,12
2025-06-29,12
2025-07-06,17
2025-07-13,30
2025-07-20,32
2025-07-27,30
2025-08-03,45
2025-08-10,100
2025-08-17,85
2025-08-24,63
2025-08-31,41
2025-09-07,35
2025-09-14,31
2025-09-21,33
2025-09-28,30
2025-10-05,33
2025-10-12,34
2025-10-19,28
2025-10-26,24
2025-11-02,28
2025-11-09,26
2025-11-16,32
2025-11-23,29
2025-11-30,30
2025-12-07,24
2025-12-14,22
2025-12-21,16
2025-12-28,14
2026-01-04,13
2026-01-11,12
