Date,Open,High,Low,Close,Volume
2025-01-10,248.01,249.04,247.55,248.21,12380131
2025-01-13,246.32,246.79,245.151,245.74,8448595
2025-01-14,245.62,247.04,245.52,247.03,4914837
2025-01-15,248.21,248.9,247.0102,248.88,6344973
2025-01-16,250.58,251.39,250.27,250.6,9235998
2025-01-17,249.7,250.81,249.15,249.27,8312858
2025-01-21,252.06,253.3598,251.83,253.13,7668119
2025-01-22,254.33,254.68,253.7801,254.43,5213777
2025-01-23,253.19,254.54,252.82,254.07,6511526
2025-01-24,255.985,257.07,255.61,255.65,7341337
2025-01-27,253.83,254.26,251.92,252.99,5799780
2025-01-28,254.225,255.25,253.891,255.18,5332005
2025-01-29,254.55,254.82,253.3,254.2,5671753
2025-01-30,257.2,258.29,256.45,258.05,12981164
2025-01-31,259.08,259.99,257.86,258.56,8965576
2025-02-03,259.765,261.3897,259.5236,259.94,11521093
2025-02-04,261.82,262.54,261.35,262.5,9850412
2025-02-05,264.43,265.99,263.89,264.13,12681127
2025-02-06,263.56,263.72,261.49,263.43,8731433
2025-02-07,265.22,266.345,263.26,263.9,9154042
2025-02-10,268.0,268.66,267.24,268.37,13250312
2025-02-11,267.695,268.36,266.711,267.39,7169450
2025-02-12,267.15,268.43,266.3451,267.67,9328598
2025-02-13,268.37,270.39,268.22,270.31,8347547
2025-02-14,270.07,270.21,265.45,266.29,11546721
2025-02-18,269.68,271.0099,269.6,270.7,8185949
2025-02-19,270.68,271.33,269.24,270.85,9342452
2025-02-20,270.17,271.84,270.17,270.99,7356900
2025-02-21,270.795,271.51,269.51,270.74,8917431
2025-02-24,271.45,272.32,270.375,272.21,5374360
2025-02-25,271.46,271.6796,266.45,268.62,10079777
2025-02-26,267.08,269.08,266.6612,269.03,7276033
2025-02-27,266.46,266.67,264.4475,264.93,9374626
2025-02-28,262.555,263.4,261.25,263.27,11504491
2025-03-03,265.07,266.88,265.07,266.74,7725647
2025-03-04,269.01,269.4,267.52,269.06,8481343
2025-03-05,267.9612,270.26,267.96,269.62,6990354
2025-03-06,268.25,269.51,268.16,268.25,6136447
2025-03-07,269.09,270.34,267.64,268.39,10431236
2025-03-10,267.62,268.44,265.64,266.04,7593890
2025-03-11,268.49,269.73,268.4401,269.16,8436562
2025-03-12,268.47,271.23,268.36,270.33,7236239
2025-03-13,271.6033,275.345,271.55,275.13,13741460
2025-03-14,276.27,276.3,274.66,275.24,13364965
2025-03-17,275.54,276.79,275.39,276.73,8583359
2025-03-18,279.9,280.215,278.97,279.96,9596547
2025-03-19,279.85,281.479,279.06,281.11,8822197
2025-03-20,279.45,280.9,279.43,280.75,5863288
2025-03-21,279.4,279.46,276.59,278.49,9359340
2025-03-24,278.89,279.089,276.86,277.25,7870109
2025-03-25,278.8,279.96,278.27,278.47,5090179
2025-03-26,278.91,279.02,277.78,278.24,3741843
2025-03-27,280.5,282.065,279.5868,281.97,8476335
2025-03-28,283.8,284.64,282.86,284.06,9563660
2025-03-31,287.53,288.39,285.85,288.14,13925100
2025-04-01,288.54,289.13,285.91,287.57,15923553
2025-04-02,288.31,289.03,287.36,288.16,11074787
2025-04-03,282.61,289.09,282.45,286.42,20524385
2025-04-04,283.64,284.03,278.02,279.72,21517158
2025-04-07,278.855,280.14,272.58,273.71,19806990
2025-04-08,277.8665,278.32,274.24,275.2,12639534
2025-04-09,282.235,285.87,281.04,285.38,25342180
2025-04-10,288.805,292.86,287.231,292.35,19837799
2025-04-11,297.94,299.275,296.81,297.93,21080132
2025-04-14,295.54,296.58,294.53,296.23,12427590
2025-04-15,296.96,298.02,296.09,297.78,7924134
2025-04-16,304.6,308.0599,303.8,307.47,20778079
2025-04-17,306.31,307.13,302.73,306.12,18287825
2025-04-21,315.015,316.41,313.945,315.59,20372259
2025-04-22,317.48,317.63,310.36,311.11,35242287
2025-04-23,304.18,304.74,300.59,303.65,25421464
2025-04-24,306.98,308.495,304.71,308.07,10844971
2025-04-25,301.77,305.37,301.01,304.73,10691590
2025-04-28,304.16,309.11,302.97,309.07,9375484
2025-04-29,305.77,306.95,304.0,306.06,6852106
2025-04-30,304.605,306.065,303.44,303.77,8331894
2025-05-01,297.41,297.94,295.32,297.46,14969062
2025-05-02,300.17,300.85,297.03,297.98,8678366
2025-05-05,305.92,307.65,304.675,306.88,8924009
2025-05-06,313.12,315.62,311.4,315.48,11445270
2025-05-07,312.1,313.26,310.08,310.75,7909976
2025-05-08,309.76,310.48,303.05,304.63,11927583
2025-05-09,307.86,308.57,306.0101,306.84,6913131
2025-05-12,298.3,299.47,296.82,298.19,14375881
2025-05-13,298.99,300.3,297.24,299.46,10233603
2025-05-14,293.6,294.8,291.96,293.16,14800596
2025-05-15,294.12,297.9,293.75,297.84,13497735
2025-05-16,292.62,294.575,291.78,294.24,14173039
2025-05-19,297.845,298.58,296.482,298.03,11656261
2025-05-20,298.37,303.6825,298.3,303.58,12850980
2025-05-21,304.55,306.46,303.67,305.82,12414518
2025-05-22,305.09,305.28,302.1,303.11,9704165
2025-05-23,308.84,310.25,307.47,309.75,13339473
2025-05-27,303.81,304.875,302.74,304.5,9578486
2025-05-28,304.6206,304.99,303.06,303.81,8803333
2025-05-29,305.74,306.89,304.46,305.61,9502412
2025-05-30,303.58,304.02,301.5,303.6,9553260
2025-06-02,309.21,311.72,308.72,311.67,13593232
2025-06-03,309.56,309.56,307.15,308.91,9315081
2025-06-04,309.44,311.88,308.74,310.9,7462529
2025-06-05,311.33,312.2,307.6501,309.33,10856012
2025-06-06,309.09,309.2,305.1,305.18,7787508
2025-06-09,305.332,307.61,305.06,306.62,7159036
2025-06-10,308.31,308.6,305.87,306.71,7071702
2025-06-11,307.51,308.615,305.85,308.37,9248766
2025-06-12,311.74,313.1,311.15,312.2,11531407
2025-06-13,317.26,317.6,315.0375,316.29,16592949
2025-06-16,314.8,314.87,311.65,311.78,12848440
2025-06-17,312.66,313.0,310.12,311.94,8234115
2025-06-18,312.89,312.98,309.86,310.26,9370785
2025-06-20,309.32,310.89,309.25,310.13,8794711
2025-06-23,310.34,312.67,310.31,311.08,12687916
2025-06-24,304.99,306.34,303.54,306.19,12035177
2025-06-25,305.31,307.36,305.12,307.12,6733155
2025-06-26,305.74,307.28,304.855,306.78,6787517
2025-06-27,300.03,302.36,299.89,301.22,13301308
2025-06-30,302.385,304.92,301.95,304.83,8192086
2025-07-01,308.555,309.0,307.36,307.55,9335647
2025-07-02,308.035,309.395,306.96,309.25,8316377
2025-07-03,307.03,307.57,306.15,307.14,5275838
2025-07-07,305.07,307.705,304.53,307.37,7351641
2025-07-08,306.31,306.445,302.77,304.16,11840545
2025-07-09,303.58,305.54,303.23,305.52,10644077
2025-07-10,306.11,306.51,304.82,306.2,7059561
2025-07-11,308.855,310.28,308.5153,309.14,9187302
2025-07-14,309.07,309.38,307.73,308.01,5772879
2025-07-15,307.73,308.74,305.79,306.73,8149008
2025-07-16,307.11,311.09,305.73,308.26,17693100
2025-07-17,305.5,307.665,305.12,307.59,6642258
2025-07-18,309.28,309.37,308.32,308.39,5574281
2025-07-21,311.9,313.31,311.61,313.13,10995756
2025-07-22,314.565,316.24,313.62,316.1,13691849
2025-07-23,314.0213,314.96,311.42,312.18,10547520
2025-07-24,309.29,310.99,309.06,310.27,7698763
2025-07-25,307.82,308.31,306.2,307.4,9376386
2025-07-28,306.46,306.58,304.05,305.41,9275440
2025-07-29,305.82,307.03,304.985,306.25,5741114
2025-07-30,304.37,304.65,300.955,300.96,13459595
2025-07-31,304.59,304.61,302.86,302.96,8980956
2025-08-01,308.62,309.55,307.45,309.11,12843364
2025-08-04,310.8,311.74,310.37,310.91,7639030
2025-08-05,310.37,312.24,310.22,311.16,6997693
2025-08-06,310.29,311.24,309.84,310.5,7418158
2025-08-07,311.805,313.135,310.7,313.12,10891459
2025-08-08,312.475,313.53,311.0,313.05,19886802
2025-08-11,308.565,309.66,307.63,308.55,10326704
2025-08-12,308.27,309.305,306.71,308.27,9701725
2025-08-13,309.1,310.39,308.45,309.21,4718586
2025-08-14,307.925,308.34,306.52,307.25,5817726
2025-08-15,307.4,308.0,306.87,307.43,5990110
2025-08-18,307.8,307.89,306.625,306.95,6150140
2025-08-19,306.75,307.4788,305.19,305.27,5029939
2025-08-20,307.565,308.47,307.4,308.36,6515411
2025-08-21,307.93,308.15,307.0314,307.29,4808975
2025-08-22,306.52,311.025,306.43,310.58,8526492
2025-08-25,309.75,310.84,309.67,309.83,4044429
