Date,Open,High,Low,Close,Volume
2025-01-10,29.75,29.815,29.681,29.76,1410004.0
2025-01-13,29.84,29.9,29.82,29.85,1352593.0
2025-01-14,29.75,29.775,29.66,29.66,1161128.0
2025-01-15,29.51,29.6958,29.5,29.61,1056175.0
2025-01-16,29.69,29.71,29.565,29.61,658279.0
2025-01-17,29.695,29.725,29.58,29.72,1072260.0
2025-01-21,29.42,29.475,29.3201,29.34,1743140.0
2025-01-22,29.375,29.4196,29.36,29.39,1497365.0
2025-01-23,29.42,29.49,29.32,29.38,876471.0
2025-01-24,29.26,29.26,29.135,29.2,10044751.0
2025-01-27,29.12,29.22,29.12,29.21,977961.0
2025-01-28,29.332,29.365,29.31,29.33,390113.0
2025-01-29,29.41,29.43,29.34,29.39,1136669.0
2025-01-30,29.302,29.44,29.2801,29.39,897088.0
2025-01-31,29.489,29.52,29.322,29.51,811018.0
2025-02-03,29.725,29.7799,29.54,29.64,2511684.0
2025-02-04,29.49,29.5078,29.37,29.37,1148375.0
2025-02-05,29.26,29.32,29.21,29.32,1628288.0
2025-02-06,29.38,29.4101,29.29,29.3,1254383.0
2025-02-07,29.338,29.49,29.31,29.43,1054527.0
2025-02-10,29.505,29.53,29.47,29.52,754332.0
2025-02-11,29.46,29.48,29.36,29.42,973446.0
2025-02-12,29.5,29.535,29.33,29.44,865744.0
2025-02-13,29.39,29.4,29.17,29.2,1642617.0
2025-02-14,29.08,29.12,29.055,29.12,658593.0
2025-02-18,29.17,29.21,29.1379,29.18,1484882.0
2025-02-19,29.22,29.29,29.19,29.21,518584.0
2025-02-20,29.12,29.135,28.98,28.98,1311329.0
2025-02-21,29.075,29.11,29.035,29.08,680637.0
2025-02-24,29.1,29.125,29.04,29.1,885677.0
2025-02-25,29.02,29.07,28.97,28.99,1099409.0
2025-02-26,29.08,29.1,28.98,29.05,610400.0
2025-02-27,29.21,29.2899,29.19,29.26,1078911.0
2025-02-28,29.295,29.4,29.275,29.39,2018271.0
