date,day_start_ts_s,price_open_usd,price_high_usd,price_low_usd,price_close_usd,market_cap_close_usd,volume_24h_close_usd
2025-01-14,1736812800.0,94504.26849514963,97094.58071458963,94451.91272177773,96732.3889915353,1916181189857.3633,55003803656.64044
2025-01-15,1736899200.0,96535.26005426567,99895.53095971681,96535.26005426567,99725.40578888806,1975418489967.2363,56122728493.968254
2025-01-16,1736985600.0,100554.74910518984,100554.74910518984,97532.25346033007,99877.5171161229,1978133831717.9255,49249747582.6554
2025-01-17,1737072000.0,99977.5043880182,105850.05041675539,99977.5043880182,104347.54717350486,2071033428678.8525,73594889513.65302
2025-01-18,1737158400.0,104125.16350264964,104838.54828188014,102721.6188330088,104216.89840135271,2064257405030.742,41417213677.10377
2025-01-19,1737244800.0,104451.81705559652,106085.44055825933,103221.86907925215,103221.86907925215,2040375565467.1672,61507831451.87798
2025-01-20,1737331200.0,101275.33714814208,108228.26762528597,99717.60975037608,103446.73844314495,2052785117030.3086,144430586526.66348
2025-01-21,1737417600.0,102094.72883937496,106969.68100810557,101063.53964636955,106011.73551990329,2101985967480.1875,95521734421.4995
2025-01-22,1737504000.0,106193.34179411683,106194.21780148889,103809.42598027962,103889.57174880913,2061317579504.2202,56134924026.78908
2025-01-23,1737590400.0,103610.2884720945,105928.72626806023,101524.9578065445,103996.38358573921,2058765535087.8228,107915731945.21402
2025-01-24,1737676800.0,104067.60991206947,106462.47510536018,103007.08090172919,104828.41023433676,2079324020423.8052,54027540551.981
2025-01-25,1737763200.0,104865.34040196025,105196.8110903439,104297.64110327902,105043.52337871982,2082833038898.615,23400456426.569286
2025-01-26,1737849600.0,104757.72169371562,105205.034734833,104252.44945477527,104252.44945477527,2067678293544.4365,17304344876.5781
2025-01-27,1737936000.0,102624.65334083581,102624.65334083581,98380.59207932772,101728.82790773972,2017597184688.3171,96564977795.63347
2025-01-28,1738022400.0,102101.49013927419,102992.57835984608,100272.25743332352,101191.8542200963,2003288626068.7031,47754931912.40608
