ProductCD,card4,card6,P_emaildomain,M1,DeviceInfo
W,discover,credit,unknown,1,unknown
W,mastercard,credit,gmail.com,-1,unknown
W,visa,debit,microsoft.com,1,unknown
W,mastercard,debit,yahoo.com,-1,unknown
H,mastercard,credit,gmail.com,-1,unknown
W,visa,debit,gmail.com,1,unknown
W,visa,debit,yahoo.com,1,unknown
W,visa,debit,unknown,-1,unknown
H,visa,debit,unknown,-1,ios
W,mastercard,debit,yahoo.com,1,unknown
C,mastercard,credit,gmail.com,-1,windows
C,mastercard,debit,microsoft.com,-1,unknown
W,visa,debit,unknown,-1,unknown
W,visa,debit,unknown,-1,unknown
W,visa,debit,unknown,-1,unknown
W,visa,debit,unknown,1,unknown
H,visa,debit,aol.com,-1,mac
H,mastercard,credit,yahoo.com,-1,windows
W,visa,debit,gmail.com,1,unknown
W,visa,debit,gmail.com,-1,unknown
W,mastercard,debit,gmail.com,1,unknown
W,mastercard,debit,gmail.com,-1,unknown
H,visa,credit,gmail.com,-1,unknown
W,mastercard,debit,gmail.com,1,unknown
W,visa,debit,gmail.com,-1,unknown
W,mastercard,debit,gmail.com,-1,unknown
W,visa,debit,me.com,-1,unknown
W,visa,debit,yahoo.com,1,unknown
W,mastercard,debit,unknown,-1,unknown
W,visa,debit,gmail.com,-1,unknown
W,visa,debit,gmail.com,-1,unknown
W,visa,credit,yahoo.com,1,unknown
W,visa,debit,yahoo.com,-1,unknown
W,mastercard,debit,yahoo.com,-1,unknown
W,visa,debit,yahoo.com,1,unknown
W,visa,debit,yahoo.com,1,unknown
W,visa,debit,gmail.com,1,unknown
W,visa,debit,gmail.com,-1,unknown
S,american express,credit,unknown,-1,unknown
W,visa,debit,yahoo.com,-1,unknown
C,visa,credit,gmail.com,-1,windows
W,visa,debit,gmail.com,1,unknown
W,visa,debit,gmail.com,1,unknown
W,visa,debit,gmail.com,1,unknown
W,visa,debit,gmail.com,-1,unknown
W,visa,debit,yahoo.com,1,unknown
W,visa,debit,gmail.com,1,unknown
W,visa,debit,unknown,-1,unknown
C,visa,debit,microsoft.com,-1,windows
C,mastercard,credit,unknown,-1,windows
